t	RBG	i1	i2	i3	i4	i5	i6	i7	i8	i9	i10	i*	TB
787	6	49029.8	40242.5	1288.45	17097.7	17688	5152.48	5833.07	13332.8	3097.06	4369.06	4	376
787	7	49029.8	40242.5	1288.45	17097.7	17688	5152.48	5833.07	13332.8	3097.06	4369.06	4	376
787	8	49029.8	40242.5	1288.45	17097.7	17688	5152.48	5833.07	13332.8	3097.06	4369.06	4	376
787	9	49029.8	40242.5	1288.45	17097.7	17688	5152.48	5833.07	13332.8	3097.06	4369.06	4	376
787	10	49029.8	40242.5	1288.45	17097.7	17688	5152.48	5833.07	13332.8	3097.06	4369.06	4	376
787	11	49029.8	40242.5	1288.45	17097.7	17688	5152.48	5833.07	13332.8	3097.06	4369.06	4	376
787	12	49029.8	40242.5	1288.45	17097.7	17688	5152.48	5833.07	13332.8	3097.06	4369.06	4	376
788	1	33382	42388.8	11918.2	17097.7	17688	12076.1	5833.07	13332.8	3097.06	2650.09	7	632
788	2	33382	42388.8	11918.2	17097.7	17688	12076.1	5833.07	13332.8	3097.06	2650.09	7	632
788	3	33382	42388.8	11918.2	17097.7	17688	12076.1	5833.07	13332.8	3097.06	2650.09	7	632
788	4	33382	42388.8	11918.2	17097.7	17688	12076.1	5833.07	13332.8	3097.06	2650.09	7	632
788	5	33382	42388.8	11918.2	17097.7	17688	12076.1	5833.07	13332.8	3097.06	2650.09	7	632
788	6	33382	42388.8	11918.2	17097.7	17688	12076.1	5833.07	13332.8	3097.06	2650.09	7	632
788	7	33382	42388.8	11918.2	17097.7	17688	12076.1	5833.07	13332.8	3097.06	2650.09	7	632
788	8	33382	42388.8	11918.2	17097.7	17688	12076.1	5833.07	13332.8	3097.06	2650.09	7	632
788	9	33382	42388.8	11918.2	17097.7	17688	12076.1	5833.07	13332.8	3097.06	2650.09	7	632
788	10	33382	42388.8	11918.2	17097.7	17688	12076.1	5833.07	13332.8	3097.06	2650.09	7	632
788	11	33382	42388.8	11918.2	17097.7	17688	12076.1	5833.07	13332.8	3097.06	2650.09	7	632
788	12	33382	42388.8	11918.2	17097.7	17688	12076.1	5833.07	13332.8	3097.06	2650.09	7	632
789	1	33382	42388.8	11918.2	13202	21718.2	12076.1	5833.07	13332.8	6612.65	2650.09	7	632
789	2	33382	42388.8	11918.2	13202	21718.2	12076.1	5833.07	13332.8	6612.65	2650.09	7	632
789	3	33382	42388.8	11918.2	13202	21718.2	12076.1	5833.07	13332.8	6612.65	2650.09	7	632
789	4	33382	42388.8	11918.2	13202	21718.2	12076.1	5833.07	13332.8	6612.65	2650.09	7	632
789	5	33382	42388.8	11918.2	13202	21718.2	12076.1	5833.07	13332.8	6612.65	2650.09	7	632
789	6	33382	42388.8	11918.2	13202	21718.2	12076.1	5833.07	13332.8	6612.65	2650.09	7	632
789	7	33382	42388.8	11918.2	13202	21718.2	12076.1	5833.07	13332.8	6612.65	2650.09	7	632
