% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
1605	1	2	2	0	12	301	0	1
1606	1	2	2	0	12	301	0	1
1608	1	2	2	0	14	389	0	1
1609	1	2	2	0	14	389	0	1
1621	1	2	2	0	14	389	0	1
1623	1	2	2	0	14	389	0	1
1624	1	2	2	0	14	389	0	1
1627	1	2	2	0	14	389	0	1
1629	1	2	2	0	8	209	0	1
1642	1	2	2	0	18	485	0	1
1645	1	2	2	0	18	485	0	1
1647	1	2	2	0	18	485	0	1
1650	1	2	2	0	16	453	0	1
1652	1	2	2	0	6	153	0	1
1660	1	2	2	0	6	153	0	1
1661	1	2	2	0	6	153	0	1
1662	1	2	2	0	6	153	0	1
1663	1	2	2	0	6	153	0	1
1664	1	2	2	0	6	153	0	1
1665	1	2	2	0	6	153	0	1
1666	1	2	2	0	6	153	0	1
1667	1	2	2	0	10	233	0	1
1668	1	2	2	0	12	301	0	1
1669	1	2	2	0	10	233	0	1
1680	1	2	2	0	10	233	0	1
1682	1	2	2	0	10	233	0	1
1685	1	2	2	0	10	233	0	1
1698	1	2	2	0	4	105	0	1
1700	1	2	2	0	4	105	0	1
1701	1	2	2	0	4	105	0	1
1702	1	2	2	0	4	105	0	1
1718	1	2	2	0	4	105	0	1
1721	1	2	2	0	4	105	0	1
1723	1	2	2	0	4	105	0	1
1724	1	2	2	0	4	105	0	1
1738	1	2	2	0	12	301	0	1
1740	1	2	2	0	12	301	0	1
1743	1	2	2	0	12	301	0	1
1756	1	2	2	0	10	233	0	1
1758	1	2	2	0	10	233	0	1
1760	1	2	2	0	10	233	0	1
1767	1	1	1	0	4	225	0	1
1774	1	2	2	0	2	137	0	1
1776	1	2	2	0	2	137	0	1
1777	1	2	2	0	2	137	0	1
1778	1	2	2	0	2	137	0	1
1781	1	2	2	0	16	967	0	1
1786	1	1	1	0	8	437	0	1
1788	1	1	1	0	8	437	0	1
1789	1	1	1	0	8	437	0	1
1792	1	1	1	0	8	437	0	1
1794	1	1	1	0	8	437	0	1
1798	1	2	2	0	12	621	0	1
1800	1	2	2	0	12	621	0	1
1802	1	2	2	0	12	621	0	1
1803	1	2	2	0	12	621	0	1
1805	1	1	1	0	0	85	0	1
1808	1	1	1	0	0	85	0	1
1809	1	1	1	0	0	85	0	1
1812	1	1	1	0	2	137	0	1
1813	1	1	1	0	2	137	0	1
1818	1	2	2	0	18	999	0	1
1821	1	1	1	0	2	137	0	1
1824	1	2	2	0	18	999	0	1
1826	1	2	2	0	6	325	0	1
1827	1	2	2	0	6	325	0	1
1837	1	2	2	0	4	225	0	1
1840	1	2	2	0	4	225	0	1
1843	1	2	2	0	4	225	0	1
1844	1	2	2	0	6	325	0	1
1846	1	1	1	0	2	137	0	1
1855	1	2	2	0	6	325	0	1
1856	1	2	2	0	6	325	0	1
1857	1	2	2	0	6	325	0	1
1859	1	2	2	0	6	325	0	1
1865	1	1	1	0	0	85	0	1
1874	1	2	2	0	12	621	0	1
1876	1	2	2	0	12	621	0	1
1878	1	2	2	0	12	621	0	1
1880	1	2	2	0	12	621	0	1
1885	1	2	2	0	18	999	0	1
1887	1	1	1	0	4	225	0	1
1893	1	2	2	0	18	999	0	1
1895	1	2	2	0	18	999	0	1
1896	1	2	2	0	18	999	0	1
1899	1	2	2	0	18	999	0	1
1900	1	2	2	0	14	807	0	1
1907	1	1	1	0	10	501	0	1
1909	1	1	1	0	10	501	0	1
1913	1	2	2	0	14	807	0	1
1916	1	2	2	0	14	807	0	1
1917	1	2	2	0	14	807	0	1
1919	1	2	2	0	14	807	0	1
1921	1	2	2	0	12	621	0	1
1929	1	1	1	0	6	325	0	1
1932	1	2	2	0	14	807	0	1
1936	1	2	2	0	14	807	0	1
1943	1	2	2	0	10	501	0	1
1944	1	2	2	0	10	501	0	1
1947	1	1	1	0	6	325	0	1
1951	1	2	2	0	12	621	0	1
1953	1	2	2	0	12	621	0	1
1956	1	2	2	0	12	621	0	1
1959	1	2	2	0	8	209	0	1
1961	1	2	2	0	6	153	0	1
1963	1	2	2	0	14	389	0	1
1965	1	2	2	0	14	389	0	1
1970	1	2	2	0	16	453	0	1
1971	1	2	2	0	16	453	0	1
1974	1	2	2	0	12	301	0	1
1976	1	2	2	0	12	301	0	1
1978	1	2	2	0	16	453	0	1
1980	1	2	2	0	16	453	0	1
1982	1	2	2	0	12	301	0	1
1984	1	2	2	0	8	209	0	1
1989	1	2	2	0	6	153	0	1
1992	1	2	2	0	6	153	0	1
1993	1	2	2	0	6	153	0	1
1995	1	2	2	0	6	153	0	1
1996	1	2	2	0	8	209	0	1
1998	1	2	2	0	8	209	0	1
2001	1	2	2	0	4	105	0	1
2007	1	2	2	0	4	105	0	1
2010	1	2	2	0	18	485	0	1
2011	1	2	2	0	18	485	0	1
2012	1	2	2	0	18	485	0	1
2013	1	2	2	0	18	485	0	1
2014	1	2	2	0	18	485	0	1
2019	1	2	2	0	4	105	0	1
2026	1	2	2	0	10	233	0	1
2028	1	2	2	0	10	233	0	1
2030	1	2	2	0	10	233	0	1
2032	1	2	2	0	10	233	0	1
2033	1	2	2	0	18	485	0	1
2034	1	2	2	0	18	485	0	1
2035	1	2	2	0	18	485	0	1
2038	1	2	2	0	18	485	0	1
2045	1	2	2	0	14	389	0	1
2048	1	2	2	0	14	389	0	1
2050	1	2	2	0	14	389	0	1
2051	1	2	2	0	14	389	0	1
2053	1	2	2	0	4	105	0	1
2054	1	2	2	0	4	105	0	1
2055	1	2	2	0	0	41	0	1
2056	1	2	2	0	0	41	0	1
2057	1	2	2	0	6	153	0	1
2065	1	2	2	0	6	153	0	1
2066	1	2	2	0	6	153	0	1
2068	1	2	2	0	6	153	0	1
2069	1	2	2	0	6	153	0	1
2070	1	2	2	0	6	153	0	1
2072	1	2	2	0	4	105	0	1
2073	1	2	2	0	8	209	0	1
2074	1	2	2	0	8	209	0	1
2076	1	2	2	0	2	65	0	1
2085	1	2	2	0	2	65	0	1
2087	1	1	1	0	6	153	0	1
2087	1	2	2	0	2	65	0	1
2088	1	2	2	0	8	437	0	1
2089	1	2	2	0	8	437	0	1
2090	1	2	2	0	8	437	0	1
2092	1	2	2	0	8	437	0	1
2093	1	2	2	0	8	437	0	1
2104	1	2	2	0	14	807	0	1
2105	1	2	2	0	14	807	0	1
2108	1	1	1	0	4	225	0	1
2110	1	2	2	0	14	807	0	1
2111	1	2	2	0	18	999	0	1
2112	1	2	2	0	14	807	0	1
2113	1	2	2	0	14	807	0	1
2114	1	2	2	0	14	807	0	1
2116	1	2	2	0	14	807	0	1
2117	1	2	2	0	8	437	0	1
2118	1	2	2	0	12	621	0	1
2119	1	2	2	0	14	807	0	1
2122	1	2	2	0	14	389	0	1
2123	1	2	2	0	10	233	0	1
2128	1	2	2	0	10	233	0	1
2129	1	2	2	0	18	485	0	1
2130	1	2	2	0	16	453	0	1
2134	1	2	2	0	16	453	0	1
2135	1	2	2	0	8	209	0	1
2138	1	2	2	0	8	209	0	1
2140	1	2	2	0	8	209	0	1
2141	1	2	2	0	12	301	0	1
2142	1	2	2	0	10	233	0	1
2147	1	2	2	0	10	233	0	1
2148	1	2	2	0	6	153	0	1
2153	1	2	2	0	6	153	0	1
2155	1	2	2	0	4	105	0	1
2158	1	2	2	0	4	105	0	1
2160	1	2	2	0	14	389	0	1
2166	1	2	2	0	14	389	0	1
2168	1	2	2	0	2	65	0	1
