% time	cellId	IMSI	RNTI	rsrp	sinr
0.248214	1	2	2	9.04482e-15	47.897
0.249214	1	1	1	3.51827e-15	18.6311
0.249214	1	2	2	8.30657e-15	43.9876
0.250214	1	1	1	1.54671e-15	8.19065
0.250214	1	2	2	6.33261e-15	33.5345
0.251214	1	1	1	1.10672e-15	5.86065
0.251214	1	2	2	3.42195e-15	18.121
0.252214	1	1	1	2.13396e-15	11.3004
0.252214	1	2	2	9.34635e-16	4.94938
0.253214	1	1	1	3.66252e-15	19.3949
0.253214	1	2	2	4.32287e-16	2.28918
0.254214	1	1	1	4.49472e-15	23.8019
0.254214	1	2	2	1.46713e-15	7.76924
0.255214	1	1	1	3.93079e-15	20.8156
0.255214	1	2	2	1.9676e-15	10.4194
0.256214	1	1	1	2.30309e-15	12.1961
0.256214	1	2	2	1.18167e-15	6.25756
0.257214	1	1	1	7.97291e-16	4.22207
0.257214	1	2	2	7.23339e-16	3.83046
0.258214	1	1	1	2.44903e-16	1.29689
0.258214	1	2	2	2.00777e-15	10.6322
0.259214	1	1	1	3.32881e-16	1.76278
0.259214	1	2	2	4.37635e-15	23.1751
0.260214	1	1	1	3.18475e-16	1.68649
0.260214	1	2	2	6.84009e-15	36.2219
0.261214	1	1	1	1.0265e-16	0.543585
0.261214	1	2	2	9.83682e-15	52.0911
0.262214	1	1	1	1.72024e-16	0.910956
0.262214	1	2	2	1.2958e-14	68.6194
0.263214	1	1	1	6.41918e-16	3.39929
0.263214	1	2	2	1.33541e-14	70.717
0.264214	1	1	1	1.02489e-15	5.42731
0.264214	1	2	2	8.92545e-15	47.2649
0.265214	1	1	1	9.54649e-16	5.05536
0.265214	1	2	2	2.62926e-15	13.9233
0.266214	1	1	1	5.90493e-16	3.12697
0.266214	1	2	2	2.10253e-16	1.1134
0.267214	1	1	1	2.71141e-16	1.43583
0.267214	1	2	2	2.9927e-15	15.8479
0.268214	1	1	1	9.38834e-17	0.497161
0.268214	1	2	2	6.38002e-15	33.7855
0.269214	1	1	1	1.63719e-17	0.0866977
0.269214	1	2	2	5.93848e-15	31.4473
0.270214	1	1	1	1.46328e-16	0.774885
0.270214	1	2	2	2.59891e-15	13.7626
0.271214	1	1	1	6.76804e-16	3.58403
0.271214	1	2	2	2.45139e-16	1.29814
0.272214	1	1	1	1.54312e-15	8.17163
0.272214	1	2	2	2.02098e-16	1.07021
0.273214	1	1	1	2.31289e-15	12.248
0.273214	1	2	2	9.7954e-16	5.18717
0.274214	1	1	1	2.48223e-15	13.1447
0.274214	1	2	2	1.68517e-15	8.92386
