% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
1.155	1	1	116	6	1	14	775	0	0
1.156	1	2	116	7	2	20	1191	0	0
1.157	1	2	116	8	2	20	1191	0	0
1.158	1	2	116	9	2	26	1836	0	0
1.159	1	2	116	10	2	26	1836	0	0
1.16	1	2	117	1	2	24	1620	0	0
1.161	1	1	117	2	1	0	81	0	0
1.162	1	1	117	3	1	2	133	0	0
1.163	1	1	117	4	1	2	133	0	0
1.164	1	1	117	5	1	6	309	0	0
1.165	1	1	117	6	1	6	309	0	0
1.166	1	1	117	7	1	4	217	0	0
1.167	1	1	117	8	1	4	217	0	0
1.168	1	1	117	9	1	0	81	0	0
1.169	1	1	117	10	1	0	81	0	0
1.17	1	1	118	1	1	4	217	0	0
1.171	1	1	118	2	1	4	217	0	0
1.172	1	1	118	3	1	8	421	0	0
1.173	1	1	118	4	1	8	421	0	0
1.174	1	1	118	5	1	2	133	0	0
1.175	1	1	118	6	1	2	133	0	0
1.176	1	1	118	7	1	6	309	0	0
1.177	1	1	118	8	1	6	309	0	0
1.178	1	1	118	9	1	10	469	0	0
1.179	1	1	118	10	1	10	469	0	0
1.18	1	1	119	1	1	2	133	0	0
1.181	1	1	119	2	1	2	133	0	0
1.184	1	1	119	5	1	8	421	0	0
1.185	1	1	119	6	1	8	421	0	0
1.186	1	1	119	7	1	16	903	0	0
1.187	1	1	119	8	1	16	903	0	0
1.188	1	1	119	9	1	14	775	0	0
1.189	1	1	119	10	1	14	775	0	0
1.19	1	1	120	1	1	4	217	0	0
1.191	1	1	120	2	1	4	217	0	0
1.192	1	1	120	3	1	8	421	0	0
1.193	1	1	120	4	1	8	421	0	0
1.194	1	1	120	5	1	8	421	0	0
1.195	1	1	120	6	1	8	421	0	0
1.198	1	1	120	9	1	4	217	0	0
1.199	1	1	120	10	1	4	217	0	0
1.2	1	1	121	1	1	6	309	0	0
1.201	1	1	121	2	1	6	309	0	0
1.202	1	1	121	3	1	4	217	0	0
1.203	1	1	121	4	1	4	217	0	0
1.204	1	1	121	5	1	2	133	0	0
1.205	1	1	121	6	1	2	133	0	0
1.206	1	1	121	7	1	2	133	0	0
1.207	1	1	121	8	1	2	133	0	0
1.208	1	1	121	9	1	0	81	0	0
1.209	1	1	121	10	1	0	81	0	0
1.21	1	1	122	1	1	12	597	0	0
1.211	1	1	122	2	1	12	597	0	0
1.212	1	1	122	3	1	14	775	0	0
1.213	1	1	122	4	1	14	775	0	0
1.214	1	1	122	5	1	4	217	0	0
1.215	1	1	122	6	1	4	217	0	0
1.218	1	1	122	9	1	4	217	0	0
1.219	1	1	122	10	1	4	217	0	0
1.22	1	1	123	1	1	6	309	0	0
1.221	1	1	123	2	1	6	309	0	0
1.222	1	1	123	3	1	2	133	0	0
1.223	1	1	123	4	1	2	133	0	0
1.224	1	1	123	5	1	12	597	0	0
1.225	1	1	123	6	1	12	597	0	0
1.226	1	1	123	7	1	12	597	0	0
1.227	1	1	123	8	1	12	597	0	0
1.228	1	1	123	9	1	6	309	0	0
1.229	1	1	123	10	1	6	309	0	0
1.23	1	1	124	1	1	8	421	0	0
1.231	1	1	124	2	1	8	421	0	0
1.232	1	1	124	3	1	8	421	0	0
1.233	1	1	124	4	1	8	421	0	0
1.234	1	1	124	5	1	6	309	0	0
1.235	1	1	124	6	1	6	309	0	0
1.236	1	1	124	7	1	14	775	0	0
1.237	1	1	124	8	1	14	775	0	0
1.238	1	1	124	9	1	8	421	0	0
1.239	1	1	124	10	1	8	421	0	0
1.24	1	1	125	1	1	8	421	0	0
1.241	1	1	125	2	1	8	421	0	0
1.242	1	1	125	3	1	14	775	0	0
1.243	1	1	125	4	1	14	775	0	0
1.244	1	1	125	5	1	6	309	0	0
1.245	1	1	125	6	1	6	309	0	0
1.246	1	1	125	7	1	6	309	0	0
1.247	1	1	125	8	1	6	309	0	0
1.248	1	1	125	9	1	4	217	0	0
1.249	1	1	125	10	1	4	217	0	0
1.25	1	1	126	1	1	8	421	0	0
1.251	1	1	126	2	1	8	421	0	0
1.252	1	1	126	3	1	14	775	0	0
1.253	1	1	126	4	1	14	775	0	0
1.254	1	1	126	5	1	6	309	0	0
1.255	1	1	126	6	1	6	309	0	0
1.256	1	1	126	7	1	12	597	0	0
1.257	1	1	126	8	1	12	597	0	0
1.258	1	1	126	9	1	16	903	0	0
1.27	1	1	128	1	1	10	469	0	0
1.271	1	1	128	2	1	10	469	0	0
1.272	1	1	128	3	1	10	469	0	0
1.273	1	1	128	4	1	10	469	0	0
1.274	1	1	128	5	1	6	309	0	0
1.275	1	1	128	6	1	6	309	0	0
1.276	1	1	128	7	1	8	421	0	0
1.277	1	1	128	8	1	8	421	0	0
1.291	1	1	130	2	1	14	775	0	0
1.292	1	1	130	3	1	4	217	0	0
1.293	1	2	130	4	2	16	903	0	0
1.294	1	2	130	5	2	20	1191	0	0
1.295	1	2	130	6	2	20	1191	0	0
